Series_Accession,Platform,Platform_Description,Sample,Drug,Disease,Tissue,PMID,Download,file_path,normalized
GSE33290,GPL4133; GPL9193,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version); IQUSP Human Intron-Exon 44k v2.0,54,Dasatinib,chronic myeloid leukemia (CML),mononuclear cells,23676950,,,
GSE208132,GPL20301,Illumina HiSeq 4000 (Homo sapiens),53,acamprosate,alcohol use disorder,Plasma and peripheral blood mononuclear cells (PBMCs),36120372,,,
GSE196038,GPL18573; GPL20301; GPL24676,Illumina NextSeq 500 (Homo sapiens); Illumina HiSeq 4000 (Homo sapiens); Illumina NovaSeq 6000 (Homo sapiens),53,APG-157,Head and neck cancer (HNC),Plasma,35600369,,,
GSE38542,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,53,Antiretroviral therapy (ART),HIV and Hepatitis C virus (HCV) coinfection,CD14+ monocytes and T cell subsets (CD4 and CD8),23437063,,,
GSE124510,GPL11154; GPL20301,"Illumina HiSeq 2000 (Homo sapiens); Illumina HiSeq 4000 (Homo sapiens)
",52,PI carfilzomib,multiple myeloma (MM),Myeloma cells,32321912,,,
GSE8057,GPL8300,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,51,cisplatin; oxaliplatin,ovarian cancer,A2780 human ovarian carcinoma cells,18359979,,,
GSE212525,GPL15520,Illumina MiSeq (Homo sapiens),50,Sitravatinib Plus Nivolumab,ccRCC,kidney,,,,
GSE28739,GPL7264,Agilent-012097 Human 1A Microarray (V2) G4110B (Probe Name version),50,Chemotherapy,epithelial ovarian cancer (EOC),chemoresistant clinical samples versus chemosensitive samples,21799864,,,
GSE10916,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,50,chemotherapy with melphalan or temozolomide,melanoma,human-melanoma derived cell lines,19147755; 20371714,,,
GSE89231,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,49,Doxorubicin,DLBCL,DLBCL cell lines,,,,
GSE11827,GPL5215,INSERM Homo sapiens 14K array Liverpool3,49,anakinra; méthotrexate,rheumatoid arthritis,PBMCs,21059672,,,
GSE128303,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,48,Iminosugar MON-DNJ modulation;  LPS,sepsis and septic shock,human monocyte-derived macrophages,31306674,,,
GSE116919,GPL18573,Illumina NextSeq 500 (Homo sapiens),48,BAZ2A/B inhibition and BET bromodomain inhibition alone and in combination,triple negative breast cancer,Breast cancer cells,31000582,,,
GSE116927,GPL20301,Illumina HiSeq 4000 (Homo sapiens),48,HSP90 inhibitors,Chronic lung diseases with goblet cell metaplasia,Human airway epithelial cells,30640172,,,
GSE31625,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,48,Lung Cancer,Epidermal growth factor receptor tyrosine kinase inhibitors,Lung Cancer Cell Lines and Human Lung Tumors,17096850,,,
GSE99986,GPL18573,Illumina NextSeq 500 (Homo sapiens),47,progestin,breast cancer,Breast tumor explants; cell lines, ,,,
GSE45558,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],46,BRAF and MEK inhibitor,Melanoma cell lines,22 BRAF-mutant melanoma cell lines,26286024,,,
GSE34870,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),46,Interferon-alpha (IFN-a); AZT; Q2; Q3; and IFN-b,Human immunodeficiency virus type 1 (HIV-1); human T lymphotropic virus type 1 (HTLV-1) retroviral infections,MT-4 and MT-2 cells, ,,,
GSE8465,GPL887,Agilent-012097 Human 1A Microarray (V2) G4110B (Feature Number version),46,Neoadjuvant Gemcitabine Plus Doxorubicin Followed by Gemcitabine Plus Cisplatin,Breast Cancer,Breast tissue,18382427,,,
GSE4173,GPL1448; GPL2696; GPL3046,"SHDK; SHCG; SHBT
",46,docetaxel or paclitaxel,ovarian cancer,ovarian carcinoma cell lines,16382445,,,
GSE108061,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,45,mTOR; MEK; and EGFR inhibitors,head and neck squamous cell carcinoma (HNSCC),Cancer Cell Line,33803266,,,
GSE24591,GPL1426; GPL2986,"ABI Human Genome Survey Microarray Version 1; ABI Human Genome Survey Microarray Version 2
",45,Hydroxyurea (HU),Sickle cell disease (SCD),Vascular endothelial cells (VEC),21228039,,,
GSE15392,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,45,CDK inhibitor,DU145 tumor,DU145 tumor cells,19755512,,,
GSE4342,GPL96; GPL97        ,[HG-U133A] Affymetrix Human Genome U133A Array; [HG-U133B] Affymetrix Human Genome U133B Array,63,Gefitinib,non-small cell lung cancer ,non-small cell lung cancer (NSCLC) cell lines,16877703;  19634903,,,
GSE159008,GPL20301,Illumina HiSeq 4000 (Homo sapiens),44,budesonide,collagenous colitis (CC); ulcerative colitis (UC),colonic biopsies,33930606,,,
GSE102677,GPL18573,Illumina NextSeq 500 (Homo sapiens),44,Metformin,Mycobacterium tuberculosis,Peripheral Mononuclear Cells,30753544,,,
GSE112953,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,44,lenalidomide,Chronic Lymphocytic Leukemia,Blood and lyphm node samples,,,,
GSE3592,GPL3064,INSERM Homo sapiens 14K array_Liverpool2,44,infliximab/methotrexate; ,rheumatoid arthritis,peripheral blood mononuclear cells (PBMCs),16817978,,,
GSE118041,GPL21290,Illumina HiSeq 3000 (Homo sapiens),43,PORCN inhibition,mutant pancreatic adenocarcinoma,Orthotopic Wnt-addicted pancreatic cancer model,30300142; 33092630,,,
GSE211052,GPL24676; GPL30173,Illumina NovaSeq 6000 (Homo sapiens);  NextSeq 2000 (Homo sapiens),42,Histone acetyltransferase inhibitors,Acute myeloid leukemia (AML),AML cell lines,,,,
GSE174498,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),42,L-asparaginase,acute lymphoblastic leukemia,ALL cell lines,35671062,,,
GSE100922,GPL21464,[HG-U219_Hs_ENTREZG_19] Affymetrix Human Genome U219 Array [CDF: Brainarray HGU219_Hs_ENTREZG_19.0.0],42,hematopoietic stem cell transplant (HSCT),Crohn’s disease (CD),whole blood,30521002,,,
GSE108293,GPL11154,Illumina HiSeq 2000 (Homo sapiens),42,MALT1 Inhibitors,ABC DLBCL,ABC-DLBCL cell lines,30024860,,,
GSE103990,GPL16791,Illumina HiSeq 2500 (Homo sapiens),42,,bladder cancer,bladder lines from patient biopsies,29625057,,,
GSE78829,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,42,bromosporine,leukemic,leukemic cell-lines,27757418,,,
GSE77750,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,42,azacitidine,myelodysplastic syndromes; chronic myelomonocytic leukemia; acute myeloid leukemia,bone marrow CD34+ cells,27416819; 30223454,,,
GSE46703,GPL6884,Illumina HumanWG-6 v3.0 expression beadchip,42,histone deacetylase inhibitor,gastrointestinal carcinoma,peripheral blood mononuclear cells,25501337; 24587009,,,
GSE45847,GPL16979,GeneTrack Human 35K oligonucleotide microarray,42,aspirin,AERD,peripheral blood mononuclear cells (PBMCs),22457146,,,
GSE28691,GPL571,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array,42,oxaliplatin,Colorectal Cancer,human tumors and murine explants of colorectal origin,,,,
GSE13548,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,42,UPR modulators,selective cancer,cancer cell,19435925,,,
GSE64741,GPL11154,Illumina HiSeq 2000 (Homo sapiens),41,BRAF; ALK; or EGFR inhibitors,Melanoma and lung adenocarcinoma,sensitive tumour cells and xenograft tumours,25807485,,,
GSE210020,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),40,Nintedanib,Senescence and age-related diseases,Human diploid fibroblasts and mouse lung fibrosis model,36055997,,,
GSE45867,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,40,tocilizumab; methotrexate,rheumatoid arthrtis synovium,Paired synovial biopsy samples,24449571; 25927832,,,
GSE24065,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),40,doxorubicin and 5-fluorouracil,Breast adenocarcinoma,MCF7 cells,30025229; 25401416;  31645610,,,
GSE26805,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),40,CDK 4/6 Inhibition,Ovarian Cancer,ovarian cell lines,24727326; 21278246,,,
GSE15913,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,40,Thalidomide,chronic lymphocytic leukemia (CLL),CLL cells,19440214,,,
GSE5716,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,40,gamma-secretase inhibitor,ALL,ALL cells,17873882,,,
GSE117489,GPL16791,Illumina HiSeq 2500 (Homo sapiens),39,Celecoxib and dimethyl-celecoxib,Asthma,Airway epithelium,32208383,,,
GSE123340,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,39,DKFZ-608,Small cell lung cancer (SCLC) and Non-small cell lung cancer (NSCLC),Cancer cell lines,,,,
GSE68163,GPL13667,[HG-U219] Affymetrix Human Genome U219 Array,38,Bendamustine,CLL,CLL cells,26701728,,,
GSE31811,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),38,DCS therapy,metastatic gastric cancer,tumor tissue samples,,,,
GSE12972,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,38,Doxorubicin,Liposarcoma,Primary human liposarcoma cell cultures,18959781,,,
GSE12102,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,37,chemotherapy,Ewing’s sarcoma,primary tumors and metastasis in patients,19307502,,,
GSE196035,GPL18573,Illumina NextSeq 500 (Homo sapiens),36,MEN1 mutations; Menin-inhibitor,Acute leukemias,xenograft models,36922589,,,
GSE102469,GPL18460,Illumina HiSeq 1500 (Homo sapiens),36,17β-estradiol (E2); Premarin chemical equivalents (EC10); Bazadoxifene (BZA); Duavee,Menopausal symptoms; Breast cancer,Breast epithelial cell lines (MCF10A and MCF7),,,,
GSE135030,GPL16791,Illumina HiSeq 2500 (Homo sapiens),36,fludarabine; ibrutinib and idelalisib,CLL,MEC1; EHEB and JVM2 leukemia cell lines,32418995,,,
GSE98785,GPL20301,Illumina HiSeq 4000 (Homo sapiens),36,HCI-2509,Ewing sarcoma,Ewing sarcoma cell lines,29997151; 34662337,,,
GSE68215,GPL4133,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version),36,methotrexate /abatacept (Aba),Rheumatoid Arthritis,,28545499; 32760165,,,
GSE78827,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,36,BSP,leukemia,,27757418,,,
GSE57130,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,36,HDAC inhibitors and Azacytidine,Esophageal Cancer,Esophageal Cancer Cells,25923331,,,
GSE23428,GPL5325,Agilent UNC Perou Lab Homo sapiens 1X44K Custom Array,36,Cetuximab; Carboplatin ,Triple Negative Breast Cancer,metastatic breast cancer samples,22665533,,,
GSE5574,GPL4191,CodeLink UniSet Human I Bioarray,36,IFN-ß-1a therapy,Multiple Sclerosis,PBMC,17467740,,,
GSE174850,GPL16791; GPL22245,"Illumina HiSeq 2500 (Homo sapiens); Illumina HiSeq 2500 (Homo sapiens; Mus musculus)
",35,osimertinib; vehicle,Metastatic EGFR mutant non-small cell lung cancer (NSCLC) with brain metastasis,Brain microvascular tumor microenvironment,36509758,,,
GSE180790,GPL20301,Illumina HiSeq 4000 (Homo sapiens),35,5-FU; irinotecan; trametinib; erlotinib; cetuximab; avastin; oxaliplatin; selumetinib; docetaxel; and everolimus.,Peritoneal metastasis of colorectal cancer (pmCRC),Metastatic colorectal cancer tissue and corresponding PDX tumors and PD3D cell culture models.,34670579,,,
GSE158387,GPL20301,Illumina HiSeq 4000 (Homo sapiens),35,proteasome inhibitor,myeloma,cancer cells,33883278,,,
GSE116129,GPL16791,Illumina HiSeq 2500 (Homo sapiens),35,ABT-199,B-cell Lymphomas [RNA-seq],tumor cells,31085176,,,
GSE4137,GPL3344; GPL3405        ,"SHEI; SHEM
",35,chemotherapy,AML,AML cell lines,16266895,,,
GSE212521,GPL11154,Illumina HiSeq 2000 (Homo sapiens),34,RO7122290,advanced solid tumors,patient biopsies,,,,
GSE199161,GPL11154; GPL24676,Illumina HiSeq 2000 (Homo sapiens); Illumina NovaSeq 6000 (Homo sapiens),34,BCL2 inhibition,leukemia,cancer cell,36563682,,,
GSE147526,GPL20795; GPL23085	,HiSeq X Ten (Homo sapiens; Danio rerio),34,Temozolomide,Glioblastoma,Zebrafish brain,35199829,,,
GSE173634,GPL24676,"Illumina NovaSeq 6000 (Homo sapiens)",34,,Breast cancer,Tumour biopsies,35361816,,,
GSE190265,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",34,MEK inhibitor (MEKi),Non-small cell lung cancer (NSCLC),Lung tumor cells,35051357,,,
GSE159007,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",34,Budesonide,Collagenous colitis; a type of inflammatory bowel disease,Colonic biopsies from patients,33930606,,,
GSE153792,GPL17303,Ion Torrent Proton (Homo sapiens),34,Metformin,Type 2 diabetes mellitus,Whole blood,32780768,,,
GSE55513,GPL16686,Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],34,,Pancreatic Ductal Adenocarcinoma (PDAC),PDAC samples obtained by Endoscopic Ultrasound,25765988,,,
GSE40841,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,34,CYT387,Myelofibrosis,,23459451,,,
GSE11302,GPL6104	,"Illumina humanRef-8 v2.0 expression beadchip",34,,,,18522853,,,
GSE195568,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),33,Palbociclib,Malignant pleural mesothelioma,Cell lines (established and patient-derived),36453028,,,
GSE174745,GPL24676,"Illumina NovaSeq 6000 (Homo sapiens)",33,,Dopaminergic Neuron Senescence,SARS-CoV-2 Infection,,,,
GSE9166,GPL96,"Affymetrix Human Genome U133A Array",33,Trovafloxacin,,Human liver-derived cells (primary human hepatocytes and HepG2 cells),17967932,,,
GSE9166,GPL96,"Affymetrix Human Genome U133A Array",33,Trovafloxacin,,Human liver-derived cells (primary human hepatocytes and HepG2 cells),17967932,,,
GSE5307,GPL3676,NKI-CMF Homo sapiens 35k oligo array,33,bortezomib,Breast cancer,Breast (cancer) cell lines and breast epithelial cell line,18199530,,,
GSE221207,GPL21697,NextSeq 550 (Homo sapiens),32,VX,Chemical warfare agent exposure,Liver,36780485,,,
GSE151159,GSE151159,Illumina HiSeq 2000 (Homo sapiens),32,dasatinib,Chronic lymphocytic leukemia (CLL),Peripheral blood lymphocytes,33354656,,,
GSE135514,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",32,Salinomycin and Dasatinib,Breast Cancer,MDA-MB-468 human triple negative breast cancer cell line,32678032,,,
GSE148242,GPL17585,Affymetrix Human Transcriptome Array 2.0 [probe set (exon) version],32,HDP-101,Multiple myeloma,Cell lines (H929 and MM1.S),33033182,,,
GSE133145,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",32,Bedaquiline,Tuberculosis (MTB infection),Human macrophages,32369020,,,
GSE128387,GPL17692,Affymetrix Human Gene 2.1 ST Array [transcript (gene) version],32,Fluoxetine,Depression,Blood,,,,
GSE66549,GPL6244,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],32,MEK Inhibitor,Squamous Cell Carcinoma (SCC),,25939760,,,
GSE59808,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",32,,PIM inhibitors,32 AML cell lines,,,,
GSE10655,GPL6534	,"Print_1186",32,Interferon-beta (IFNb),Multiple Sclerosis (MS),Blood,18382694,,,
GSE1434,GPL1260	,"GLI1 and GLI2 target genes",32,,,HaCaT keratinocytes,16434164,,,
GSE1434,GPL1260	,"GLI1 and GLI2 target genes",32,,,HaCaT keratinocytes,16434164,,,
GSE212014,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",31,,Gastrointestinal cancers including pancreatic ductal adenocarcinoma; colorectal adenocarcinoma; and cholangiocarcinoma,Patient-derived organoids (PDOs),36256477,,,
GSE203612,GPL18573; GPL19057; GPL19415,Illumina NextSeq 500 (Homo sapiens; Mus musculus),31,,,,35931863,,,
GSE96049,GPL16791,Illumina HiSeq 2500 (Homo sapiens),31,,Pelizaeus-Merzbacher Disease,Human induced pluripotent stem cell-derived oligodendrocytes,28366443,,,
GSE87007,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",31,Palbociclib,Breast cancer,Breast cancer cell lines and tumors,28566333,,,
GSE70616,GPL18190	,Affymetrix Human Gene 1.1 ST Array [CDF: Brainarray HuGene11stv1_Hs_ENTREZG_15.1.0],31,,,Cell culture,25582842,,,
GSE5149,GPL4338,"CNIO Homo sapiens Oncochip 2 (27.648)",31,Docetaxel,Breast cancer,Breast cancer cell lines (MCF7 and MDA-MB-231),17099726,,,
GSE153315,GPL17303,"Ion Torrent Proton (Homo sapiens)",30,Metformin,Type 2 Diabetes (T2D),Whole blood,31128758,,,
GSE201868,GPL24676	,Illumina NovaSeq 6000 (Homo sapiens),30,,Hepatocellular Carcinoma,Tumor samples,36059442,,,
GSE171763,GPL24676	,Illumina NovaSeq 6000 (Homo sapiens),30,Venetoclax and Ibrutinib,Diffuse large B-cell lymphoma (DLBCL),DLBCL cell lines,34795418,,,
GSE171650,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",30,,Lung cancer,Lung,34038737,,,
GSE140768,GPL16791; GPL24676; GPL27644	,"Illumina HiSeq 2500 (Homo sapiens); Illumina NovaSeq 6000 (Homo sapiens)",30,PTC-028,Diffuse intrinsic pontine glioma (DIPG),DIPG cells,33086074,,,
GSE144761,GPL20301,Illumina HiSeq 4000 (Homo sapiens),30,Irofulven,Cancer,,33199492,,,
GSE139896,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",30,Rifampin; Rifabutin; Rifapentine,Tuberculosis,Human primary hepatocytes,32724080,,,
GSE120350,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,30,,Lactotroph pituitary tumors,Pituitary,30555413,,,
GSE80767,GPL6887; GPL10558,Illumina MouseWG-6 v2.0 expression beadchip; Illumina HumanHT-12 V4.0 expression beadchip,30,,,,27496731,,,
GSE40263,GPL6244,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],30,Novel antioxidative peptides,psoriatic changes,PBMCs,25980547,,,
GSE34672,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",30,Tranylcypromine (TCP),Acute Myeloid Leukemia (AML),Human myeloid cells (HL-60 or TEX cell line),22406747,,,
GSE22319,GPL10536,"TAGC Homo sapiens 9k (HuSG9k) v1",30,Various potential antivirals including ribavirin,Influenza A virus infection,A549 human lung epithelial cells,20957181,,,
GSE23209,GPL4133,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F,30,17-AAG (HSP90 inhibitor),Breast cancer,Breast cancer cell lines,20920318,,,
GSE14580,GPL570,Affymetrix Human Genome U133 Plus 2.0 Array,30,Infliximab,Ulcerative colitis,Colonic mucosal biopsies,19700435,,,
GSE1676,GPL201,"Affymetrix Human HG-Focus Target Array",30,NCS (radiomimetic drug),DNA damage response,Human cells (not specified),15892871,,,
GSE1676,GPL201,"Affymetrix Human HG-Focus Target Array",30,NCS (radiomimetic drug),DNA damage response,Human cells (not specified),15892871,,,
GSE140758,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",29,NVP-CGM097,ER-positive breast cancer,Breast,32787886,,,
GSE54323,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",29,Sunitinib,Metastatic breast cancer,Tumor biopsies,25888067,,,
GSE65420,GPL11154,Illumina HiSeq 2000 (Homo sapiens),29,PBS-1086,EGFR-mutant lung adenocarcinoma,11-18 (EGFR-mutant lung adenocarcinoma) cells,25843712,,,
GSE123141,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",28,,Ulcerative colitis and Crohn's disease (inflammatory bowel disease),Intestinal macrophages,33570153,,,
GSE124253,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",28,,Chronic obstructive pulmonary disease (COPD); idiopathic pulmonary fibrosis (IPF); most lung cancers,Small airway epithelium (SAE),31443657,,,
GSE134986,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",28,oligomycin,Mitochondrial stress,HEK293T cells,32132707,,,
GSE62935,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",28,,Frontotemporal dementia (FTD),Induced pluripotent stem (iPS) cells differentiated into neurons from individuals with FTD-associated MAPT mutations.,26143746,,,
GSE84713,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",28,Cetuximab,Head and neck cancer (SCCHN),Patient-derived xenografts,28560858,,,
GSE68091,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",28,ONC201,Mantle cell lymphoma (MCL) and acute myeloid leukemia,Hematologic cells,26884599,,,
GSE63582,GPL11154; GPL18573	,Illumina HiSeq 2000 (Homo sapiens); Illumina NextSeq 500 (Homo sapiens),28,BET bromodomain inhibitors such as JQ1,Triple negative breast cancer,Breast cancer cells,26735014,,,
GSE35142,GPL4133,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version),28,Surface modified SiO2 and PAMAM dendrimers,,Human aortic endothelial cells,23806026,,,
GSE33224,GPL4133,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version),28,Dasatinib,Chronic myeloid leukemia (CML),Mononuclear cells,23676950,,,
GSE32191,GPL2895; GPL6801	,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray; [GenomeWideSNP_6] Affymetrix Genome-Wide Human SNP 6.0 Array,28,,,,21251114,,,
GSE30011,GPL2006,"Human 19K oligo array",28,Oxaliplatin,colon cancer,colon cancer cell lines,,,,
GSE2888,GPL96,"Affymetrix Human Genome U133A Array",28,,,,,,,
GSE2535,GPL8300	,"Affymetrix Human Genome U95 Version 2 Array",28,imatinib (also called Gleevec),chronic myelogenous leukemia (CML),blood or bone marrow,15820940,,,
GSE2535,GPL8300	,"Affymetrix Human Genome U95 Version 2 Array",28,imatinib (also called Gleevec),chronic myelogenous leukemia (CML),blood or bone marrow,15820940,,,
GSE151343,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",27,Actinomycin D,Medulloblastoma,Brain,33046443,,,
GSE131473,GPL18460	,"Illumina HiSeq 1500 (Homo sapiens)",27,Wnt-activating drug,Medulloblastoma,Brain,32859895,,,
GSE114286,GPL17303,"Ion Torrent Proton (Homo sapiens)",27,Indirubin,Psoriasis,Skin,30341238,,,
GSE113711,GPL11154,"Illumina HiSeq 2000 (Homo sapiens)",27,JQ1 BET inhibitor,Lung cancer,Lung cancer cell line H23,30080437,,,
GSE89891,GPL10558	,"Illumina HumanHT-12 V4.0 expression beadchip",27,BIX-01294,Breast cancer,Human breast cancer cells (MCF7),29145444,,,
GSE78512,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",27,Compound Kushen Injection (CKI),Breast cancer,MCF-7 breast cancer cell line,27602759,,,
GSE42387,GPL16297,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Agilent Systematic Name; collapsed probe; version),27,oxaliplatin and irinotecan (active metabolite SN-38),colorectal cancer,colon cancer cell lines,25759163,,,
GSE186447,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),26,NCP26,Multiple myeloma,Bone marrow,36631435,,,
GSE188249,GPL11154	,"Illumina HiSeq 2000 (Homo sapiens)",26,Guadecitabine and pembrolizumab,Recurrent platinum-resistant ovarian cancer,Epithelial ovarian; fallopian tube; or primary peritoneal cancer,35671108,,,
GSE199456,GPL11154,"Illumina HiSeq 2000 (Homo sapiens)",26,Fedratinib,Acute myeloid leukemia (AML),Patient-derived AML xenografts,35618837,,,
GSE159751,GPL11154,"Illumina HiSeq 2000 (Homo sapiens)",26,Mito-Tempo,Crohn's disease,Intestinal mucosal biopsies,,,,
GSE162335,GPL20301,Illumina HiSeq 4000 (Homo sapiens),26,,Ulcerative colitis,Intestinal tissues; specifically ileal-anal pouch,33359089,,,
GSE123278,GPL18573	,"Illumina NextSeq 500 (Homo sapiens)",26,panobinostat,diffuse midline glioma (DMG),central nervous system,31748226,,,
GSE121926,GPL18573	,"Illumina NextSeq 500 (Homo sapiens)",26,,,B-lymphoblastoid cell lines (LCLs),36496436; 30894562,,,
GSE53798,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",26,cyclophosphamide; doxorubicin; and vincristine.,,,25881228,,,
GSE33288,GPL9193,"IQUSP Human Intron-Exon 44k v2.0",26,Dasatinib,Chronic myeloid leukemia (CML),Mononuclear cells,23676950,,,
GSE12530,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,26,,meningioma,,19003955,,,
GSE145356,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",25,CPT-11,colorectal cancer,colorectal cancer cells,33417860,,,
GSE117548,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",25,,Colorectal cancer,Patient-derived colorectal cancer organoids.,35668108,,,
GSE29002,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,25,,,,22894908,,,
GSE223839,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",24,,Drug Resistance in hepatoblastoma,,,,,
GSE199159,GPL11154,"Illumina HiSeq 2000 (Homo sapiens)",24,Venetoclax,Acute myeloid leukemia (AML),MOLM13 cells (leukemia cell line),36563682,,,
GSE203505,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",24,Neutralizing CXCL10 antibody,Tumor-associated vasculature,Pericytes and endothelial cells,,,,
GSE203358,GPL32271,"Ion GeneStudio S5 prime (Homo sapiens)",24,Verteporfin,Cardiac fibrosis,Cardiac stromal cells,35770662,,,
GSE167246,GPL20844,Agilent-072363 SurePrint G3 Human GE v3 8x60K Microarray 039494 [Feature Number Version],24,Afatinib,Cutaneous Adverse Drug Reactions (CADR),reconstructed human epidermis (RHE),34909713,,,
GSE168797,GPL24676,"Illumina NovaSeq 6000 (Homo sapiens)",24,Cannabidiol (CBD),SARS-CoV-2 (COVID-19),Lung epithelial cells (A549),33758843,,,
GSE85547,GPL17230,NanoString Prognostic Liver Signature (PLS) panel (186 genes; ver.0),24,Cenicriviroc,Chronic hepatitis C with HIV co-infection,Liver biopsy tissues obtained at the time of enrollment,34951993,,,
GSE188914,GPL18573,Illumina NextSeq 500 (Homo sapiens),24,Etoposide; Interferon-Gamma,Breast cancer (ERα+ and ERα-),Breast cancer cell lines (MCF-7 and MDA-MB-231),35014681,,,
GSE185492,GPL24676,"Illumina NovaSeq 6000 (Homo sapiens)",24,Small molecule inhibitors of epigenetic repressor EZH2 and Dopamine Receptor D2 (DRD2),Prostate cancer (Castration-resistant prostate cancer adenocarcinoma (CRPC-Adeno) and neuroendocrine prostate cancer (CRPC-NEPC)),Patient-derived hydrogel organoids of prostate cancer,,,,
GSE181129,GPL11154,"Illumina HiSeq 2000 (Homo sapiens)",24,Selective agonist of Retionic acid Nuclear Receptor Gamma (RARg) II,Osteochondroma,Osteochondroma explants,,,,
GSE151607,GPL21697,"NextSeq 550 (Homo sapiens)",24,Tazemetostat; Lenalidomide,Diffuse large B-cell lymphoma (DLBCL),,34168051,,,
GSE156182,GPL23159,[Clariom_S_Human] Affymetrix Clariom S Assay; Human (Includes Pico Assay),24,WIP1 inhibitor (WIP1i) GSK2830371; MDM2 inhibitor Nutlin-3a,Acute myeloid leukemia (AML),AML cell lines (MV-4-11 and NOMO-1),33917342,,,
